,CompanyName,Rating,TotalReviews,SalaryOffereByComapany,TotalInterviews,Benefits,PhotosOnSite
206,Hidden Brains InfoTech,3.6,274,863,27,45,1
207,Profectus Capital,4.2,274,1k,18,8,1
208,Vayam Info Solutions,4,274,851,17,21,--
209,Century Enka,4.1,274,935,16,22,--
210,Enpro Industries,4.3,274,1.1k,26,9,5
211,SUN Mobility,3.9,274,1.5k,34,22,--
212,Creamy foods,3.7,274,920,27,13,3
213,Terralogic Software Solutions,2.8,274,2k,34,12,--
214,Stellar Information Technology,3.6,273,1.2k,27,22,40
215,Normet,3.9,273,1.1k,18,33,1
216,Ambica Steels,3.5,273,910,28,24,1
217,S G Encon,3.5,273,648,19,27,--
218,Mitsuba Sical,4,273,903,20,32,--
219,Shriram Group,4,273,1.4k,11,21,--
220,Oriflame India,4.1,273,830,18,43,--
221,Manipal University,4,274,1.3k,34,21,--
222,greytHR,3.6,273,1.3k,38,14,12
223,Reliance resQ,3.9,273,609,13,18,--
224,S G Encon,3.5,273,648,19,27,--
225,Stellar Information Technology,3.6,273,1.2k,27,22,40
226,Normet,3.9,273,1.1k,18,33,1
227,Niine ,3.7,273,759,16,17,--
228,Ambica Steels,3.5,273,910,28,24,1
229,Cargo Service Center India,3.7,272,825,14,27,2
230,ICICI Foundation for Inclusive Growth,3.6,272,684,18,26,1
231,Asian Heart Institute,4.1,272,447,35,10,24
232,Winjit Technologies,3.5,272,2k,45,15,--
233,British Airways,2.9,272,1.3k,32,26,3
234,Hero Electric,4.1,272,1k,19,20,--
235,WeRize,3.4,272,1.1k,43,22,16
236,P&O Cruises,3.6,272,344,11,36,--
237,East India Udyog,3.9,272,862,17,26,--
238,Medgenome Labs,3.8,272,1.1k,26,20,--
239,Flipspaces,4,272,935,18,15,1
240,WeRize,3.4,272,1.1k,43,22,16
241,Hero Electric,4.1,272,1k,19,20,--
242,Nalco,4.1,271,806,27,18,9
243,Valmet,4,271,1.3k,16,23,3
244,Utkarsh Classes,4.1,271,443,13,8,8
245,Intech Organics,3.1,272,1.1k,31,11,8
246,Sonalika Group of Companies,3.8,271,1.3k,23,31,8
247,Allengers Medical Systems,3.6,271,1.2k,18,23,6
248,Vistra Corporate Services,3.5,271,1.4k,23,17,--
249,Rakon,3.7,271,1.1k,14,17,1
250,Vesuvius,3.6,271,1.1k,15,29,--
251,Arrow,4.5,271,210,14,6,--
252,Applus IDIADA,4,271,691,43,20,3
