,CompanyName,Rating,TotalReviews,SalaryOffereByComapany,TotalInterviews,Benefits,PhotosOnSite
184,HDFC ERGO General Insurance,4.0,4.2k,12.2k,210,284,7
185,DCB Bank,3.8,4.1k,9.9k,236,273,23
186,Royal Enfield,4.2,4.1k,15.3k,209,407,39
187,John Deere,4.0,4.1k,15.7k,274,445,12
188,RBL Bank,3.5,4.1k,18.7k,252,236,11
189,Tata Communications,3.8,4.1k,23.7k,311,440,13
190, Publicis Sapient,3.2,4.1k,33.5k,714,414,70
191,Cummins,4.3,4.1k,15.8k,298,470,16
192,Alembic Pharmaceuticals,3.9,4k,15.7k,270,393,9
193,Cloudnine Hospital,4.5,4k,3.1k,1.6k,171,7
194,Bank of America,4.1,4k,30.3k,298,422,--
195,Pidilite Industries,4.2,4k,12.3k,276,372,5
196,Grasim Industries,4.0,4k,13.4k,298,289,11
197,Aditya Birla Sun Life Insurance,4.0,4k,10.5k,191,225,23
198,Oyo Rooms,2.9,4k,13.6k,262,404,14
199,PNB MetLife,3.3,3.9k,8.2k,201,237,18
200,Kyndryl,3.9,3.9k,28.1k,238,174,60
201,American Express,4.1,3.9k,26k,440,459,10
202,Aditya Birla Capital,3.8,3.9k,14.6k,273,229,30
203,Subros,3.7,3.9k,12.8k,228,393,11
204,KPIT Technologies,2.8,3.9k,24.4k,351,297,17
205,ADP Private Limited,3.8,3.9k,22.6k,302,472,16
206,Escorts Kubota Limited,4.1,3.9k,14k,311,273,26
207,Viatris,4.1,3.9k,14.5k,174,516,13
208,Maersk,3.9,3.9k,19.8k,256,434,26
209,XpressBees,4.1,3.9k,8.3k,448,179,25
210,PVR INOX,3.9,3.9k,9.6k,226,255,5
211,Altruist Technologies,4.4,3.9k,8.5k,725,87,6
212,JK Cement,4.0,3.9k,10.5k,358,280,28
213,Birlasoft,3.4,3.8k,29.7k,319,253,8
214,Synechron,3.4,3.8k,29.3k,413,257,10
215,Reliance Communications,4.0,3.8k,9.2k,108,387,1
216,PhonePe,4.0,3.8k,14.2k,448,206,11
217,Blinkit,3.8,3.8k,14.5k,396,241,27
218,Glenmark Pharmaceuticals,3.8,3.8k,12.3k,192,332,2
219,Kotak Mahindra Life Insurance Company,3.5,3.8k,12.7k,266,274,6
220,Bharat Electronics,4.2,3.8k,12.9k,256,322,1
221,Dabur,3.8,3.7k,9.2k,346,293,5
222,Sodexo,4.0,3.7k,10.1k,217,382,22
223,Cogent E Services,3.1,3.7k,10.6k,300,231,13
224,Godrej & Boyce Manufacturing,3.8,3.7k,15.3k,243,419,3
225,UNO Minda,3.9,3.7k,11.8k,271,309,6
226,ArcelorMittal Nippon Steel India,4.1,3.7k,13k,286,130,6
227,Ipca Laboratories,3.8,3.7k,11.7k,220,258,4
228,Abbott,4.1,3.7k,12.2k,191,370,8
229,Aarti Industries,4.1,3.7k,14.6k,338,365,6
230,Samvardhana Motherson Group,3.7,3.7k,12k,263,413,11
231,Reliance Projects & Property Management Services,4.0,3.6k,7.7k,218,33,7
232,Reliance Digital,4.1,3.6k,8.4k,179,254,28
233,IGT Solutions,3.2,3.6k,13.8k,259,228,14
234,MRF Tyres,3.6,3.6k,13k,390,356,9
235,Indian Oil Corporation,4.4,3.6k,8k,246,304,36
236,"NTT DATA, Inc.",3.9,3.6k,21k,160,263,7
237,Alkem Laboratories,3.9,3.6k,10.1k,205,342,2
238,Johnson Controls,3.5,3.5k,17.8k,310,273,28
239,[24]7.ai,3.4,3.5k,11.7k,197,417,10
240,Honda Motorcycle & Scooter ,4.1,3.5k,11.3k,212,356,9
241,Vishal Mega Mart,3.7,3.5k,6.3k,223,286,12
242,Hindustan Coca Cola Beverages,4.0,3.5k,7.9k,195,398,4
243,Barclays,3.7,3.5k,34.6k,327,269,28
244,Bajaj General Insurance Limited,3.7,3.5k,11k,146,250,9
245,DTDC Express,3.7,3.5k,9k,205,281,3
246,UBS,3.8,3.5k,32.6k,381,125,11
247,IndusInd Nippon Life Insurance,3.3,3.5k,8k,174,238,13
248,RSPL Group,4.0,3.5k,9.9k,269,317,8
249,ABB,4.0,3.5k,19k,307,365,5
250,TVS Credit Services Ltd,4.2,3.5k,7.5k,169,212,12
251,AGS Health,3.9,3.4k,15.1k,224,290,--
252,Ceat Tyres,3.9,3.4k,13k,217,357,8
253,NatWest Group,3.9,3.4k,21.9k,242,378,11
254,Ford Motor,4.2,3.4k,15.6k,179,409,12
255,HARMAN,3.8,3.4k,24.3k,299,113,3
256,Alstom Transportation,3.7,3.4k,15.9k,290,187,8
257,Croma,3.8,3.4k,9.8k,197,199,9
258,Niva Bupa Health Insurance Company ,4.0,3.4k,8.9k,389,137,13
259,InterGlobe Aviation,3.4,3.4k,14k,383,332,5
260,Conduent,3.4,3.4k,17.3k,246,378,10
261,Tata AIG,4.0,3.3k,12k,201,258,6
262,Tata Technologies,3.4,3.3k,23.6k,317,319,14
