,CompanyName,Rating,TotalReviews,SalaryOffereByComapany,TotalInterviews,Benefits,PhotosOnSite
913,Aparna Constructions and Estates,3.9,1.2k,4.1k,115,99,23
914,Salesforce,3.9,1.2k,14.9k,254,106,18
915,Meril,3.6,1.2k,5.1k,88,78,44
916,FOCUS EDUMATICS,2.9,1.2k,3.1k,128,40,20
917,Birla Corporation,4.0,1.2k,3.8k,76,87,7
918,Apollo Health and Lifestyle Limited,4.3,1.2k,3.5k,118,74,59
919,Podar International School,4.0,1.2k,3.2k,82,116,9
920,Podar International School,4.0,1.2k,3.2k,82,116,9
921,London Stock Exchange Group,3.6,1.2k,11.4k,160,57,--
922,MDIndia Health Insurance TPA,3.6,1.2k,3.8k,72,89,3
923,Johnson Lifts,3.9,1.2k,3.7k,50,95,1
924,Barclays Shared Services,3.8,1.2k,4.6k,38,181,--
925,Imperial Auto Industries,3.8,1.2k,4.9k,79,70,13
926,Ocwen Financial Solutions,3.8,1.2k,4.2k,53,171,1
927,IIFL Home Finance,3.8,1.2k,2.9k,59,22,2
928,Coca-Cola Company,4.0,1.2k,3.4k,108,105,4
929,Nilkamal,3.7,1.2k,3.7k,84,95,--
930,Dhoot Transmission,3.7,1.2k,3.9k,70,109,3
931,Deccan Fine Chemicals,3.6,1.2k,5.2k,107,64,--
932,CaratLane - A Tata Product,4.0,1.2k,3.1k,68,81,49
933,Motilal Oswal Home Finance,4.3,1.2k,1.5k,127,27,10
934,Biocon Biologics,3.7,1.2k,7k,112,355,14
935,Stanza Living,3.4,1.2k,3.6k,127,83,34
936,Dishtv,3.4,1.2k,3.3k,77,104,1
937,Bajaj Motors,3.9,1.2k,3.4k,70,114,--
938,Edelweiss,3.6,1.1k,5.5k,63,135,--
939,Edelweiss Life Insurance,3.7,1.1k,3.7k,60,98,3
940,Kohler,3.6,1.1k,5.2k,79,76,13
941,INDO-MIM ,4.0,1.1k,4.4k,79,115,--
942,Jacobs Engineering Group,4.2,1.1k,5.4k,93,98,1
943,Navitasys India,4.0,1.1k,2.7k,148,59,4
944,Barbeque Nation,3.9,1.1k,2.7k,51,122,23
945,Unicharm,3.9,1.1k,2.9k,67,106,--
946,Advantmed,4.0,1.1k,2.8k,172,57,5
947,Piaggio,3.6,1.1k,3.8k,74,127,4
948,Jabil Circuit India,4.0,1.1k,4.4k,71,90,1
949,Onward Technologies Inc,2.8,1.1k,6.2k,95,45,16
950,Svatantra Microfin,3.9,1.1k,2.2k,49,82,18
951,Asirvad Microfinance,3.8,1.1k,2.3k,48,64,16
952,Air India Sats Airport Services,3.6,1.1k,2.5k,69,76,--
953,V2 Retail,3.3,1.1k,2.7k,92,89,13
954,1Point1 Solutions Ltd,3.6,1.1k,3.2k,84,90,9
955,TÜV NORD,3.7,1.1k,4.1k,81,70,1
956, TK Elevator,3.8,1.1k,4.4k,66,97,1
957,Birla Opus,4.1,1.1k,2.6k,103,16,10
958,Zydus Wellness,4.1,1.1k,2.7k,108,76,9
959,MAHLE ANAND Filter Systems,3.9,1.1k,3.6k,42,112,2
960,MG Motor,3.9,1.1k,4.9k,82,79,1
961,Sundaram Finance,3.9,1.1k,3k,51,90,9
962,Wonder Home Finance,4.6,1.1k,787,192,10,31
963,Hyundai Mobis,3.7,1.1k,5.2k,80,129,6
964,ICON Plc,4.0,1.1k,4.6k,149,58,100
965,Innodata India Private Limited,3.7,1.1k,3.1k,197,61,--
966,Wistron,4.0,1.1k,5.2k,93,131,2
967,Godrej Agrovet,3.9,1.1k,3.6k,64,82,10
968,Knorr-Bremse,3.2,1.1k,5.2k,73,119,--
969,Kirloskar Brothers,3.7,1.1k,4.5k,93,98,12
970,Hikal,3.8,1.1k,4.7k,76,88,4
971,Tube Investments of India,3.8,1.1k,3.6k,70,54,17
972,Vedanta Aluminium Metal,3.8,1.1k,4.6k,72,117,15
973,Syngenta,4.2,1.1k,3.8k,83,98,5
974,Sri Chaitanya Educational Institutions,3.6,1.1k,3k,52,67,10
975,Unity Small Finance Bank,3.6,1.1k,4.3k,80,20,13
976,Aarvi Encon,3.9,1.1k,3k,87,71,4
977,Hinduja Housing Finance,3.7,1.1k,2.9k,48,34,8
978,HPCL-Mittal Energy Limited,4.3,1.1k,4.7k,47,107,18
979,Tata Capital Housing Finance,3.9,1.1k,3.3k,54,5,1
980,CALIBEHR,3.9,1.1k,2.7k,70,63,3
981,Saipem,4.2,1.1k,3.4k,55,149,19
982,VMware Software,4.4,1.1k,8.8k,146,130,--
983,Gmmco,4.1,1.1k,2.9k,53,113,1
984,Adani Ports and SEZ,3.6,1.1k,4k,77,124,15
985,TKIL,4.1,1.1k,4.6k,77,95,5
986,Hitachi Energy,4.0,1.1k,7.7k,129,66,4
987,Pernod Ricard,3.5,1.1k,4.6k,63,112,6
988,SLMG Beverages,3.9,1.1k,3.5k,72,38,6
989,Northcorp Software,4.8,1.1k,223,865,54,1
990,GAIL,4.4,1.1k,3.3k,82,90,5
991,Metropolis Healthcare,3.9,1.1k,3.7k,70,75,3
992,Thermo Fisher Scientific,3.8,1.1k,6.8k,109,95,1
993,Malabar Gold and Diamonds,4.1,1.1k,2.8k,103,73,22
994, Vayona Energy,4.0,1.1k,4.9k,60,104,4
995,Power Grid Corporation of India,4.3,1.1k,2.1k,80,79,6
996,Xyz Company,3.8,1.1k,48.5k,541,63,--
997,Crompton Greaves Consumer Electricals,3.7,1.1k,4k,58,7,--
998,Dana Anand,4.0,1.1k,3k,56,128,6
999,BDR Pharmaceuticals International,4.2,1.1k,2.1k,163,59,1
1000,Shyam Steel Group,3.5,1.1k,3.8k,85,53,2
1001,Fractal Analytics,4.0,1.1k,11.5k,233,115,14
1002,Aspire Systems,3.8,1.1k,9.9k,130,86,--
1003,Bajaj Capital Insurance Broking Limited,4.3,1.1k,1.3k,230,41,12
1004,QX Global Group,3.0,1.1k,4.7k,175,43,31
1005,Hindustan Zinc,3.7,1.1k,4.4k,56,106,2
1006,Greenko Group,3.9,1.1k,3.8k,73,99,18
1007,Jet Airways,4.6,1.1k,1.8k,26,180,--
1008,Nexa,3.9,1.1k,2.2k,41,103,1
1009,Writer Information Management Services,3.2,1.1k,3.6k,53,52,--
1010,Zf Rane Automotive,3.9,1.1k,3.9k,66,134,1
1011,Vertiv,3.7,1.1k,4.7k,62,7,4
1012,Gharda Chemicals Limited,4.0,1.1k,4.7k,83,104,8
1013,Klm Axiva Finvest,4.4,1.1k,794,438,6,15
1014,Wheels,3.9,1.1k,5.2k,73,73,1
1015,Netcracker Technology,3.0,1.1k,9.3k,145,86,13
1016,ValueMomentum,3.2,1.1k,9k,100,60,14
1017,BirlaNu,3.8,1.1k,2.9k,74,71,6
1018,Thomas Cook,4.1,1.1k,3.7k,101,102,--
1019,IB Group,3.7,1.1k,3.3k,83,49,5
1020,Otis Elevator,4.1,1.1k,4.2k,65,87,3
1021,GVPR Engineers,3.8,1.1k,3.1k,78,146,1
1022,Bharat Sanchar Nigam,3.8,1.1k,2.6k,49,101,3
1023,GlobalData,3.3,1.1k,5.5k,95,105,--
1024,ALLEN Career Institute,3.7,1.1k,4.5k,73,42,6
1025,Atlas Copco,4.1,1.1k,5.6k,102,94,--
1026,Lakshmi Machine Works,3.8,1.1k,4.3k,62,70,3
1027,Spencer's Retail,3.7,1.1k,2.8k,68,97,--
1028,Nippon Life India Asset Management,4.6,1k,1.6k,158,25,--
1029,Uber,4.1,1k,8.7k,175,107,12
1030,Allianz Technology,4.0,1k,6.9k,73,115,6
1031,Hitachi Payment Services,3.6,1k,3.5k,56,67,--
1032,NBC Bearings,3.9,1k,3.8k,112,45,5
1033,Kinara Capital,4.2,1k,2.2k,93,151,41
1034,Amara Raja Group,4.1,1k,3.5k,75,102,--
1035,Vistaar Finance,3.9,1k,2.2k,36,141,5
1036,Syrma SGS Technologies,4.0,1k,3.5k,74,6,1
1037,Ceasefire Industries,3.1,1k,2.4k,122,77,--
1038,Tata Cummins,4.4,1k,1.5k,88,2,3
1039,Skipper,3.9,1k,3.2k,88,71,4
1040,SitusAMC,3.3,1k,5.4k,73,46,2
1041,Suzuki Motorcycle,4.0,1k,4k,52,89,1
1042,United Breweries,3.3,1k,3.5k,56,93,1
1043,iQor Global Services,3.4,1k,2.6k,47,116,6
1044,MakeMyTrip,3.5,1k,7.6k,148,103,11
1045,Siemens Energy,4.1,1k,6.2k,102,72,--
1046,Fortrea Development India Private Limited,3.9,1k,5k,87,58,11
1047,Perfetti Van Melle,4.2,1k,2.9k,38,96,2
1048,Comviva Technology,2.7,1k,6.3k,88,76,1
1049,Secure Meters,3.9,1k,4.6k,88,104,13
1050,Skoda Auto Volkswagen India,3.9,1k,4.8k,50,84,15
1051,Visionet Systems,3.3,1k,5.9k,79,89,--
1052,Zudio ,3.9,1k,2.1k,63,26,10
1053,Arohan Financial Services,3.9,1k,2.1k,41,65,19
1054,Vaco Binary Semantics ,3.1,1k,5.4k,96,77,7
1055,Bounteous x Accolite,3.2,1k,8.5k,249,110,17
1056,Lemon Tree Hotels,4.0,1k,2.8k,62,138,5
1057,Sahara India Pariwar,3.9,1k,2.5k,29,100,9
1058,Motherson Sumi Wiring,3.7,1k,4.1k,106,12,14
1059,Westside,3.7,1k,2.1k,57,79,8
1060,Star Cement,4.0,1k,3.2k,89,96,--
1061,TradeIndia (Infocom Network Private Limited),3.4,1k,4.5k,88,65,58
1062,Aparajitha Corporate Services,3.8,1k,3k,55,65,--
1063,Temenos,3.2,1k,8.7k,96,59,12
1064,MasterCard,3.8,1k,13.2k,172,106,--
1065,Colgate Palmolive,4.0,1k,4.5k,89,121,--
1066,Incheon Motors,4.7,1k,353,297,7,7
1067,Merino Industries,3.7,1k,3.5k,79,74,25
1068,AstraZeneca,3.8,1k,7.4k,70,152,--
1069,Cult.fit,3.5,1k,4.2k,84,82,10
1070,Pristyn Care,3.1,1k,4.2k,85,149,--
1071,Mastek,3.6,1k,6.7k,134,43,272
1072,eClinicalWorks,3.5,1k,5k,78,160,1
1073,Tiger Analytics,3.7,1k,10.6k,260,39,116
1074,	Collins Aerospace,3.8,1k,7.9k,87,105,5
1075,VeeTechnologies,4.0,1k,4.4k,132,91,1
1076,Amazon Web Services,3.7,1k,6.9k,194,83,--
1077,Xebia,3.0,1k,6.6k,97,227,35
1078,CarDekho Group,3.6,1k,5.1k,87,114,34
1079,SYSKA LED Lights,2.9,1k,2.4k,58,80,1
1080,Mahindra Automotives ,3.8,1k,5.1k,49,41,3
1081,C&S Electric,4.0,1k,3.7k,68,97,14
1082,JSW Group,3.9,1k,4.4k,135,62,11
1083,Quantiphi Analytics Solutions Private Limited,3.1,1k,7.7k,210,59,--
1084,Wonder Cement,4.2,1k,3.6k,64,65,6
1085,Rebel Foods,3.7,1k,3.5k,78,63,3
1086,Lumina Datamatics,3.2,1k,4.7k,64,51,3
1087,Entain,3.5,999,7.3k,143,93,11
1088,National Payments Corporation of India,4.0,999,4.4k,106,38,10
1089,Capacit'e Infraprojects,3.7,998,3.3k,80,67,1
1090,Lowe's,4.0,998,10.4k,156,132,2
1091,Jyothy Labs,4.0,998,2.3k,56,76,6
1092,Softenger,3.9,998,2.7k,75,165,13
1093,J B Chemicals And Pharmaceuticals,3.9,997,3.4k,65,83,--
1094,Everest Industries,3.8,997,3.3k,64,91,4
1095,Technip Energies,4.0,996,5.4k,93,44,7
1096,JW Marriott,4.2,996,2k,49,154,--
1097,Marsh McLennan,3.8,996,8.7k,54,77,--
1098,KEI Industries,4.3,995,3.3k,71,94,--
1099,Yokohama Off-Highway Tires,3.7,994,4.3k,71,34,4
1100,General Mills,4.1,994,5.3k,87,120,--
1101,Natco Pharma,4.0,992,3.5k,56,89,2
1102,Psp Projects,3.8,992,3.1k,80,46,4
1103,Salcomp Manufacturing,4.0,990,4.5k,89,76,--
1104,Pizza Hut,4.0,990,1.9k,50,83,19
1105,TechnipFMC,3.9,991,4.9k,84,108,--
1106,Barclays Global Service Centre,3.9,989,8k,101,142,--
1107,Hiranandani Financial Services,4.4,987,1k,208,24,19
1108,Napino Auto & Electronics,3.9,987,4k,67,75,2
1109,Financial Software & Systems,3.6,986,5.1k,75,65,1
1110,VIP Industries,3.7,985,3k,51,89,2
1111,Defence Research & Development Organisation,4.4,984,4k,78,89,--
1112,Kendriya Vidyalaya Sangathan,4.3,986,1.6k,69,66,3
1113,Guidehouse,3.6,984,5.9k,81,46,--
1114,LOREAL,3.8,982,3.8k,69,103,1
1115,Pricol,3.9,981,4.3k,55,91,15
1116,Astral Adhesives,3.8,981,2.6k,57,61,2
1117,Shriram General Insurance,3.6,979,2.8k,42,54,--
1118,Altisource,3.5,978,3.6k,45,138,9
1119,JSW Paints,3.8,973,3.3k,103,35,10
1120,Xceedance,3.5,971,6.7k,135,84,8
1121,Adani Enterprises,3.7,968,4.9k,107,80,1
1122,Pramerica Life Insurance,3.7,967,2.5k,42,70,5
1123,Gannon Dunkerley & Co.,3.3,965,1.9k,44,117,2
1124,LanceSoft,3.2,964,5.7k,77,52,4
1125,Jaro Education,3.2,963,2.3k,119,63,--
1126,Cohance Lifesciences,3.9,965,3.3k,42,45,5
1127,Signify,3.4,963,4.6k,63,83,2
1128,Navayuga Engineering Company,3.9,963,2.5k,66,91,1
1129,SFO Technologies,3.4,962,4.9k,48,70,4
1130,Amphenol Interconnect,4.2,961,3.8k,52,70,1
1131,Velocis Systems,3.8,960,5.2k,70,55,--
1132,Nasser S. Al Hajri Corporation,3.6,960,1.8k,42,98,--
1133,Timken,3.9,960,4.3k,62,105,12
1134,ICCS,3.0,959,2.9k,68,49,23
1135,KMV Projects Limited,4.3,958,2.3k,64,88,2
1136,Knight Frank,4.0,958,3.3k,61,80,2
1137,Mando Automotive,4.0,955,4.2k,55,125,1
1138,Aristo Pharmaceuticals,3.9,955,2.6k,55,69,--
1139,Episource,3.9,952,2.7k,229,81,2
1140,Episource,3.9,952,2.7k,229,81,2
1141,Petrofac,4.3,951,2.4k,47,118,5
1142,FLSmidth,3.6,950,4.2k,46,112,4
1143,Reliance Power,4.1,950,3.3k,68,73,3
1144,Bhanzu,3.7,950,1.3k,195,6,24
1145,Tikona Infinet,3.4,950,2.6k,33,90,1
1146,FastInfo,4.2,950,912,115,358,6
1147,Volvo,4.0,949,5.7k,81,96,4
1148,Sandhar Technologies,3.7,949,3.5k,58,76,2
1149,Jubilant Pharmova,3.7,949,3.3k,63,114,5
1150,"Commonwealth Bank of Australia, India",2.7,949,8.2k,116,53,14
1151,Godfrey Phillips India,4.0,948,3.2k,43,104,--
1152,Hathway,3.4,946,3.5k,50,82,--
1153,CIEL HR,3.9,946,3.3k,75,58,5
1154,Bayer,4.0,943,4.5k,61,137,--
1155,Medhaj Techno Concept,4.0,942,2k,60,165,78
1156,Medha Servo Drives,4.2,941,3.2k,94,112,1
1157,Tafe Motors & Tractors,3.9,941,3.1k,61,25,--
1158,Target,4.0,941,7.2k,144,93,--
1159,Apotex Research,3.7,940,2.9k,38,109,--
1160,Steag Energy Services,4.3,938,2.8k,52,106,2
1161,Naukri,4.1,937,3.3k,232,122,15
1162,OCS Group,4.1,935,2.6k,63,59,3
1163,Intellipaat Software Solutions,3.9,934,2.1k,205,16,6
1164, MAS Financial Services Ltd,3.6,934,2.3k,58,44,23
1165,Schlumberger,3.7,933,5.5k,157,115,14
1166,Greenlam Industries,4.1,933,3.3k,67,58,1
1167,SKH Metals,4.0,932,2.9k,84,59,2
1168, Deepak Fertilisers and Petrochemicals  ,4.0,930,3.5k,49,81,31
1169,Re Sustainability Limited,3.8,930,3.1k,62,81,1
1170,GE Healthcare,3.9,929,6.1k,87,100,4
1171,M3M India,4.1,929,3.4k,68,41,4
1172, Sundaram Clayton,3.9,929,2.8k,36,92,--
1173,HomeLane,3.3,928,4.3k,95,70,6
1174,Test Yantra Software Solutions,3.0,928,26k,151,130,--
1175,Netscribes,2.7,928,3k,95,73,10
1176,Nirma,4.2,928,3.1k,54,119,1
1177,Aviva Life Insurance India,3.4,928,2.6k,37,66,3
1178,Wakefit,3.9,927,3.1k,83,30,6
1179,Simplilearn,3.8,924,4.7k,150,62,8
1180,Experis IT,3.0,924,3.8k,71,45,1
1181,Amazon Sellers Services,4.0,923,2.5k,135,105,--
1182,Aircel,4.4,923,1.2k,9,154,--
1183,Ashirvad Pipes,3.8,923,2.9k,70,89,5
1184,Orient Electric,3.7,922,3.4k,66,58,31
1185,HT Media,3.0,922,4.8k,61,90,6
1186,Alok Industries,3.6,921,3.4k,54,88,--
1187,Nityo Infotech,3.2,921,5k,98,48,--
1188,Neel Metal Products,4.0,921,2.7k,56,74,4
1189,Yashoda Hospitals,3.9,917,3.5k,71,93,9
1190,Michelin,3.7,917,5.1k,68,115,--
1191,Vijay Sales,4.0,916,2.9k,69,58,1
1192,Bosch Chassis Systems,4.1,911,2.7k,48,113,--
1193,Egis India Consulting Engineers,4.2,910,2.3k,57,102,2
1194,Sona Comstar ,4.0,910,4.1k,82,65,--
1195,Ageas Federal Life Insurance,3.5,908,2.4k,58,74,4
1196,Updater Services,3.7,907,2.9k,49,59,13
1197,ACL Digital,3.6,906,6.7k,94,47,--
1198,Musashi Auto Parts,3.8,906,2.9k,45,77,--
1199,Nibav Lifts,4.0,902,1.8k,104,27,14
1200,Carborundum Universal Limited ,3.7,901,3.7k,39,64,--
1201,Volkswagen,4.1,900,3.1k,53,103,15
1202,TNQ Tech Private Limited,3.5,899,4.1k,67,69,--
1203,Truhome Finance,3.6,899,2.7k,61,51,3
1204,RAMTeCH Software Solutions,3.7,899,3.5k,47,59,--
1205,Ups Logistics,3.5,900,4.6k,88,81,--
1206,Wipro PARI,3.2,900,3.8k,69,22,3
1207,Satya MicroCapital,3.7,899,2.2k,70,48,6
1208,Integra Software Services,3.9,899,3.2k,69,55,1
1209,Centum Electronics,3.5,899,3.7k,32,112,--
1210,WSP,4.2,898,4.3k,111,28,16
1211,H&M,3.8,897,3.3k,121,79,15
1212,Alorica,3.0,897,3.4k,94,24,16
1213,Acme Cleantech Solutions,4.0,897,2.6k,86,95,1
1214,Nlb Services,3.6,893,3.3k,37,60,6
1215,AJIO,3.6,893,2.9k,65,98,--
1216,Apar Industries,4.1,892,3.6k,64,51,5
1217,Silaris Informations ,2.9,893,3k,61,54,2
1218,Tata Chemicals,3.9,891,2.8k,77,135,9
1219,Epsilon,3.6,891,7.5k,108,93,7
1220,IDEMIA,3.8,891,3.8k,62,77,3
1221,Marks & Spencer,3.8,889,3.2k,36,118,--
1222,BGR Energy Systems,3.8,888,3.1k,47,121,--
1223,Ather Energy,4.1,887,4.7k,76,38,9
1224,Fedbank Financial Services,4.0,887,3.1k,48,46,--
1225,India Shelter Finance Corporation,3.8,886,2.4k,38,39,1
1226,Shilpa Medicare,3.4,885,3.9k,65,56,9
1227,Magna International,3.9,886,5.7k,54,69,--
1228,Parag Milk Foods,3.9,884,2.6k,81,59,23
1229,Panacea Biotec,3.5,883,2.8k,69,102,--
1230,MOURI Tech,3.6,883,6.4k,76,57,6
1231,Tata Starbucks,4.1,883,2k,64,109,8
1232,Athena BPO,3.3,882,2.8k,58,59,4
1233,Nexdigm,3.7,880,3.5k,75,18,5
1234,Vedanta Limited,3.7,880,3.1k,73,74,--
1235,National Health Mission,3.5,880,2.4k,36,53,1
1236,Next Education India,3.2,879,2.6k,50,124,42
1237,UKG,2.9,879,6.6k,133,52,12
1238,Metso,4.1,877,3.3k,84,65,4
1239,C.R.I. Pumps,3.9,877,2.7k,36,77,2
1240,Patel Infrastructure Limited,4.4,876,2.1k,111,92,9
1241,Torry Harris Integration Solutions,4.1,876,4.6k,190,42,--
1242,Future Focus Infotech,3.3,876,4.1k,60,49,--
1243,Rohan Builders,4.1,876,2.4k,63,66,6
1244,Victura Technologies Private Limited,4.0,874,3.4k,49,46,1
1245,Parekh Integrated Services,4.0,874,2.7k,42,92,--
1246,Tata Hitachi Construction Machinery,4.0,873,3.1k,68,80,--
1247,Porter,3.5,872,4k,103,59,6
1248,Tata Power Solar ,4.1,871,3.3k,86,53,11
1249,enGen Global,3.8,871,5.8k,76,59,6
1250,Swaraj Tractors,4.0,869,2.9k,42,127,8
1251,Shaktiman Tirth Agro Technology,3.9,869,3k,64,84,1
1252,Casagrand,3.8,868,4.5k,75,35,--
1253,Shivalik Small Finance Bank ,4.2,866,1.7k,107,75,3
1254,Rico Auto Industries,3.8,867,3.5k,62,50,5
1255,Sutherland Healthcare Solutions,3.7,866,4.1k,49,56,--
1256,Precision Infomatic M Pvt Ltd,3.8,866,2.8k,57,27,--
1257,Jaya Hind Industries,3.7,866,2.7k,65,60,2
1258,Union Bank of India,3.9,865,3k,44,70,8
1259,Clarivate,3.7,864,6.9k,96,48,--
1260,LEAD School,3.2,863,3.3k,95,75,2
1261,KGISL,3.0,863,5.4k,93,99,5
1262,Bechtel,3.9,860,3.9k,74,90,3
1263,Impact Infotech Pvt. Ltd.,3.4,860,2.7k,59,80,--
1264,HP India,3.8,857,6k,168,108,6
1265,Mahindra First Choice,3.8,856,3k,42,81,--
1266,AuthBridge Research Services,3.1,856,3.2k,52,61,11
1267,IBS Software Services,3.5,856,6.6k,122,72,4
1268,Lumen Technologies,3.9,854,4k,57,105,2
1269,Sanden Vikas,4.0,854,2.7k,58,75,3
1270,Royal Sundaram General Insurance,3.7,853,2.8k,24,61,6
1271,Rockwell Automation,3.7,853,5.9k,90,77,6
1272,Fareportal,3.0,852,3.6k,46,101,7
1273,Mahindra Tractors,4.1,852,2.7k,57,3,--
1274,Guardian India,3.8,851,4.5k,64,87,6
1275,BDO,3.2,851,6.2k,60,21,7
1276,Eris Lifesciences,3.6,851,2.4k,47,77,--
1277,RR kabel,4.1,850,3k,73,50,--
1278,Ascendion,3.2,848,4.6k,128,6,12
1279,Bank of India,4.0,847,2.8k,58,95,13
1280,Luxoft,3.6,847,5.3k,138,101,4
1281,Greaves Cotton,4.0,846,3k,32,95,11
1282,Serco,4.2,846,1.2k,33,136,2
1283,Five-Star Business Finance,4.1,845,2.1k,31,37,1
1284,Syneos Health,3.6,845,3.9k,64,49,5
1285,Orion Edutech,4.1,844,1.4k,41,104,1
1286,K Raheja Corp,4.1,844,3.3k,73,76,10
1287,Medusind Solutions,3.5,844,3.1k,37,102,--
1288,Principal Global Services,3.6,845,6.2k,86,103,5
1289,Petpooja,4.0,843,1.8k,97,89,31
1290,Baxter International,3.8,844,3.8k,54,90,5
1291,Encore Capital Group,3.8,842,2.1k,48,110,8
1292,Duck Creek Technologies,4.5,843,1.3k,87,399,4
1293,Zydus Healthcare,4.0,840,2.3k,71,10,3
1294,Poly Medicure,3.5,840,3k,84,48,1
1295,Freshworks,3.3,840,7.5k,185,60,--
1296,Rodic Consultants,4.2,839,1.9k,48,75,8
1297,Rashmi Group,3.5,838,3.4k,54,40,2
1298,eTeam,3.2,838,3.7k,53,32,--
1299,Artech Infosystems,3.3,838,3.9k,85,76,1
1300,Waaree Energies,4.0,838,3.5k,78,49,1
1301,Consolidated Contractors,4.3,836,1.4k,39,166,--
1302,FIITJEE,3.2,835,2k,57,52,7
1303,Feedback Infrastructure Services,3.4,836,2.4k,47,90,--
1304,Teamware Solutions,4.1,834,3.3k,72,42,--
1305,Advik Hi Tech,3.7,834,3.1k,62,68,8
1306,Arvind Lifestyle Brands,4.0,834,1.9k,22,1,--
1307,Sunbeam Auto,3.9,833,2.9k,55,53,1
1308,Ford Business Solutions,4.1,833,4.3k,54,28,9
1309,Vastu Housing Finance,4.1,834,2.1k,57,147,10
1310,DBG Technology,3.6,832,2.3k,89,33,1
1311,Bpo Convergence,3.4,833,2.1k,67,37,4
1312,Ugro Capital,3.7,831,2.9k,48,28,3
1313,Ramco Systems,3.7,829,5.3k,73,64,12
1314,Linde India,3.9,829,3.8k,58,91,--
1315,Y-Axis Overseas Careers,4.1,829,1.5k,156,241,22
1316,Dineshchandra R. Agrawal Infracon,4.0,832,2.7k,65,39,1
1317,JK Paper,3.8,827,2.8k,67,75,1
1318,Prama Hikvision India,3.5,827,3.2k,67,45,1
1319,Praj Industries,4.0,827,3.4k,47,65,1
1320,Praj Industries,4.0,827,3.4k,47,65,1
1321,Huhtamaki,3.9,826,2.7k,27,88,--
1322,Qualitest,3.6,826,7k,93,31,--
1323,Amber Enterprises India,3.9,826,3k,60,43,2
1324,Universal Sompo General Insurance,4.4,824,2.2k,163,52,--
1325,Bill Gosling Outsourcing India,3.5,822,2.9k,51,85,7
1326,Ramkrishna Forgings,3.4,821,3.1k,68,62,--
1327,Qinecsa Solutions,2.7,821,2.8k,64,1,--
1328,Novac Technology Solutions,3.5,820,5.5k,77,52,5
1329,Punj Lloyd,4.0,820,1.6k,20,139,--
1330,Jio-bp,3.6,819,2.9k,79,27,--
1331,Vijaya Diagnostic Centre,3.8,818,2.2k,48,140,2
1332,Aequs,3.4,817,3.5k,61,52,--
1333,Border Security Force,4.5,818,1.4k,18,81,--
1334,Zuventus Healthcare,3.8,815,2.3k,63,61,79
1335,Prince Pipes & Fittings,4.1,815,2.6k,57,59,--
1336,Investors Clinic,3.6,814,1.6k,76,32,--
1337,AISIN,4.1,813,2.7k,58,92,3
1338,RenewBuy,3.3,812,2.9k,65,23,14
1339,THE LEELA PALACES HOTELS & RESORTS,4.0,812,2.3k,41,112,2
1340,Fluor Corporation,4.1,811,1.7k,32,8,--
1341,IFFCO,4.1,810,2k,58,93,2
1342,Progressive Techserve,3.2,810,2.8k,45,68,15
1343,Nippon Koei India,4.7,810,1.4k,166,31,21
1344,Ask Automotive,4.2,810,3.1k,38,51,--
1345,PUMA,4.1,809,2.6k,72,85,2
1346,Somany Ceramics,4.2,809,2.7k,30,71,1
1347,Eveready Industries,3.9,807,2.5k,44,89,1
1348, Wipro Consumer Care & Lighting,3.6,806,3.8k,76,273,1
1349,Chennai Radha Engineering Works,3.9,806,2.3k,40,91,--
1350,Hitachi,3.8,806,5k,97,61,9
1351,Engineers India,4.2,805,3.4k,91,80,7
1352,Zidio Development,4.4,805,110,173,2,2
1353,Radical Minds,2.8,807,2.7k,68,37,1
1354,Hilti,3.3,804,3.8k,75,81,5
1355,Maveric Systems,3.3,805,7.3k,132,74,147
1356,JM Financial,3.8,803,3.9k,61,35,10
1357,Rallis India,4.0,803,2.5k,46,80,1
1358,Action Construction Equipment,3.7,803,2.9k,74,44,--
1359,Careernet ,3.6,802,4.6k,49,53,1
1360,Careernet ,3.6,802,4.6k,49,53,1
1361,Franklin Templeton Investments,3.8,802,3.9k,35,72,4
1362,Axtria,2.7,802,7.9k,135,78,126
1363,Intex Technologies,3.6,802,1.5k,20,99,2
1364,Travel Food Services Ltd,4.0,801,2.1k,51,63,3
1365,Microtek International,3.7,800,2.8k,54,55,--
1366,Denave,3.4,800,2.8k,49,82,1
1367,Jai Balaji Group,3.2,799,3.2k,57,65,3
1368,Creative Synergies Group,3.9,797,2.4k,30,18,7
1369,First Advantage,3.4,796,4.6k,32,61,5
1370,Wabtec,3.8,794,4.3k,63,53,2
1371,Toyo Engineering,4.0,795,3.7k,62,82,8
1372,People Tech Group,2.3,794,5.4k,89,35,13
1373,Hitachi Digital Services,3.5,796,2.3k,70,51,44
1374,Forever Living Products,4.2,793,1.6k,79,54,10
1375,Pratap Technocrats,3.7,792,1.9k,37,42,1
1376,Lea Associates South Asia,4.3,792,1.9k,34,84,10
1377,Wapcos,3.1,793,2.3k,42,43,--
1378,Lenovo,4.0,791,4.2k,60,62,41
1379,Edubridge Learning,3.8,790,1.3k,67,156,11
1380,Ksb Pumps,3.7,789,3.5k,58,43,8
1381,Neurealm,3.4,788,6.7k,102,54,2
1382,Fleetguard Filters Private Limited,4.3,788,2.8k,53,61,1
1383,NTT,3.9,788,4.9k,72,62,2
1384,Padget Electronics,3.7,787,2.9k,85,30,2
